,IDAeropuerto,Sigla,IATA,NombreAeropuerto,Categoria,Latitud,Longitud,Municipio,Departamento,Propietario,Explotador,LongitudPista,AnchoPista,PBMO,Elevacion,Resolucion,Clase,Tipo,GCD_Municipio,GCD_Departamento,FechaInicioVigencia,FechaFinVigencia,VersionDelRegistro,Anio
0,562,7FO,no-especificado,LA ISLA,Aeródromo,4.4211,-71.6271,Puerto Gaitán,Meta,LA ISLA Y EL ROSARIO S.A.,LA CEIBA S.A.,1321,38,3000,538,"1,325,000",1A,Fumigación,50568,50,2016-01-01,2300-01-01,S,2016
1,563,7FU,no-especificado,LA ESCONDIDA,Aeródromo,4.6108,-71.1935,Puerto Gaitán,Meta,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,6667,5,5000,564,"1,843,000",1A,Público,50568,50,2016-01-01,2300-01-01,S,2016
2,564,7FW,no-especificado,MORICHITO,Aeródromo,5.9188,-71.7932,Hato Corozal,Casanare,CARMEN NARANJO,ROBERTO C. RIAÑO P.,2411,1,3500,720,"2,220,000",1A,Aerocivil,85125,85,2016-01-01,2300-01-01,S,2016
3,565,7FX,no-especificado,CAROLINA DEL PRINCIPE,Aeródromo,6.7248,-75.2909,Carolina,Antioquia,MUNICIPIO,MUNICIPIO,982,0,1000,6004,"6,470,000",1A,Público,5150,5,2016-01-01,2300-01-01,S,2016
4,566,7FY,no-especificado,DUBAI,Aeródromo,8.296,-75.0307,Ayapel,Córdoba,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,1592,21,500,82,"1,212,000",1A,Privado,23068,23,2016-01-01,2300-01-01,S,2016
5,567,7FZ,no-especificado,EL TRIUNFO,Aeródromo,4.8095,-71.667,Orocué,Casanare,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,5,66,3000,475,"5,532,000",1A,Aerocivil,85230,85,2016-01-01,2300-01-01,S,2016
6,568,7GA,no-especificado,BARU - HIDROPUERTO,Aeródromo,10.2321,-75.5877,Cartagena de Indias,Bolívar,MAURICIO E. VASQUEZ M.,EL MISMO,106,69,500,0,"6,067,000",1A,Público,13001,13,2016-01-01,2300-01-01,S,2016
7,569,7GB,no-especificado,LA CAROLINA,Aeródromo,9.528,-73.7866,El Paso,Cesar,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,46,4,500,690,"5,474,000",UL,Aerocivil,20250,20,2016-01-01,2300-01-01,S,2016
8,570,7GC,no-especificado,SAN FELIPE DEL PAUTO,Aeródromo,5.2032,-70.8951,Trinidad,Casanare,AGRAS S.A.S,AGRAS S.A.S,1783,0,3000,3125,"4,505,000",1A,Fumigación,85430,85,2016-01-01,2300-01-01,S,2016
9,571,7GD,no-especificado,VELASQUEZ,Aeródromo,5.9482,-74.4575,Puerto Boyacá,Boyacá,FAC,MANSAROVAR,496,47,10000,617,"2,135,000",3C,Público,15572,15,2016-01-01,2300-01-01,S,2016
10,572,7GE,no-especificado,LUCITANIA,Aeródromo,4.6954,-71.589,Orocué,Casanare,AGROPECUARIA CRAVO SUR,AGROPECUARIA CRAVO SUR,2677,2,3000,443,"1,051,000",1A,Privado,85230,85,2016-01-01,2300-01-01,S,2016
11,573,7GF,no-especificado,LA UNION,Aeródromo,5.6283,-70.7032,Paz de Ariporo,Casanare,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,1092,3,3500,335,"2,136,000",1A,Fumigación,85250,85,2016-01-01,2300-01-01,S,2016
12,574,7GG,no-especificado,LA ILUSION,Aeródromo,4.5805,-72.4282,Maní,Casanare,SIGRA S.A.,SIGRA S.A.,4,51,3500,574,"1,944,000",1A,Público,85139,85,2016-01-01,2300-01-01,S,2016
13,575,7GH,no-especificado,LA VENTUROSA,Aeródromo,6.1391,-68.7779,Puerto Carreño,Vichada,MUNICIPIO,GOBERNACION,2723,77,9500,246,"6,782,000",1A,Fumigación,99001,99,2016-01-01,2300-01-01,S,2016
