,IDFecha,IDTipoVuelo,IDTipoTrafico,IDEmpresa,IDEquipo,IDAeropuertoOrigen,IDAeropuertoDestino,Vuelos,Pasajeros,CargaBordo,TotalSillas,TotalCarga,ID
0,76,3,0,50,42,828,674,1,0,0.0,0,0,0
1,17,3,0,13,50,183,97,1,2,200.0,2,200,1
2,44,3,0,62,52,211,25,1,5,40.0,5,40,2
3,24,3,0,69,50,183,53,1,2,0.0,2,0,3
4,38,3,0,1,50,211,53,1,1,0.0,1,0,4
5,14,3,0,70,24,211,53,1,19,150.0,19,150,5
6,17,3,0,23,48,211,53,1,3,20.0,3,20,6
7,20,3,0,23,48,211,53,1,2,80.0,2,80,7
8,12,3,0,1,48,211,53,1,3,0.0,3,0,8
9,3,3,0,23,53,211,53,1,5,50.0,5,50,9
10,20,3,0,23,53,211,53,2,6,55.0,6,55,10
11,13,3,0,5,53,211,53,2,3,60.0,3,60,11
12,16,3,0,5,53,211,53,1,2,200.0,2,200,12
13,9,3,0,5,53,211,53,2,3,10.0,3,10,13
14,17,3,0,5,53,211,53,3,10,110.0,10,110,14
15,8,3,0,5,53,211,53,30,90,2000.0,90,2000,15
16,6,3,0,5,53,211,53,2,2,40.0,2,40,16
17,7,3,0,5,53,211,53,3,5,40.0,5,40,17
18,12,3,0,5,53,211,53,1,1,10.0,1,10,18
19,12,3,0,1,53,211,53,1,5,33.0,5,33,19
20,5,3,0,1,53,211,53,1,4,0.0,4,0,20
21,11,3,0,1,53,211,53,1,1,10.0,1,10,21
22,17,3,0,1,53,211,53,1,3,72.0,3,72,22
23,13,3,0,70,24,196,53,2,27,165.0,27,165,23
24,26,3,0,79,50,257,53,1,2,20.0,2,20,24
25,79,3,0,17,53,853,629,1,1,0.0,1,0,25
26,30,3,0,1,50,335,67,1,1,1.0,1,1,26
27,2,3,0,23,48,335,67,1,1,40.0,1,40,27
28,42,3,0,23,48,335,67,1,2,20.0,2,20,28
29,28,3,0,5,48,335,67,1,3,30.0,3,30,29
30,49,3,0,5,48,335,67,1,2,0.0,2,0,30
31,40,3,0,1,48,335,67,1,1,0.0,1,0,31
32,33,3,0,1,48,335,67,1,1,65.0,1,65,32
33,44,3,0,23,53,335,67,1,3,20.0,3,20,33
